player,source_team,target_team,transfer,source_n90,target_n90,stat,stat_label,metric_group,metric_order,unit,carry_forward,context_prediction,actual,actual_change,predicted_change,carry_raw_abs_error,model_raw_abs_error,scale,carry_scaled_error,model_scaled_error,scaled_error_improvement,model_better_stat,model_outcome,metric_carry_error,metric_model_error,metric_gain_pct,player_carry_error_43,player_model_error_43,player_gain_pct_43,player_stat_win_rate_43,cohort_movers,cohort_carry_error_43,cohort_model_error_43,cohort_gain_pct_43,default_player
Alexis Claude-Maurice,Nice,Augsburg,Nice → Augsburg,5.6,23.4,int,Interceptions /90,Defending,8,per 90,0.892857142857,1.084701859,0.641025641026,-0.251831501832,0.191844716148,0.251831501832,0.443676217979,0.508340965481,0.495398795163,0.872792570552,-0.377393775388,0,Carry-forward better,0.560451506495,0.686682941429,-22.5231681012,0.695493249663,0.519342847978,25.3274063797,0.627906976744,255,0.542554694382,0.500315163656,7.78530370535,0
Cedric Zesiger,Wolfsburg,Augsburg,Wolfsburg → Augsburg,18.2,13.6,int,Interceptions /90,Defending,8,per 90,0.824175824176,1.29323147483,1.54411764706,0.719941822883,0.469055650655,0.719941822883,0.250886172228,0.508340965481,1.41625773205,0.493539158291,0.922718573764,1,Context model better,0.560451506495,0.686682941429,-22.5231681012,0.537796176791,0.451506826271,16.0449914381,0.488372093023,255,0.542554694382,0.500315163656,7.78530370535,0
Chrislain Matsima,Clermont Foot,Augsburg,Clermont Foot → Augsburg,13.1,28.3,int,Interceptions /90,Defending,8,per 90,0.992366412214,1.28027341903,1.83745583039,0.845089418175,0.287907006818,0.845089418175,0.557182411357,0.508340965481,1.66244602651,1.09608009032,0.566365936189,1,Context model better,0.560451506495,0.686682941429,-22.5231681012,0.444404580694,0.428015076268,3.68796928247,0.53488372093,255,0.542554694382,0.500315163656,7.78530370535,0
Frank Onyeka,Brentford,Augsburg,Brentford → Augsburg,12.9,28.7,int,Interceptions /90,Defending,8,per 90,1.78294573643,1.61799396107,1.2543554007,-0.528590335737,-0.164951775362,0.528590335737,0.363638560376,0.508340965481,1.03983422866,0.715343804786,0.324490423874,1,Context model better,0.560451506495,0.686682941429,-22.5231681012,0.517501388102,0.336705715965,34.9362680552,0.790697674419,255,0.542554694382,0.500315163656,7.78530370535,0
Keven Schlotterbeck,Bochum,Augsburg,Bochum → Augsburg,24.3,14.4,int,Interceptions /90,Defending,8,per 90,1.35802469136,1.44304435998,1.04166666667,-0.316358024691,0.0850196686191,0.316358024691,0.40137769331,0.508340965481,0.622334311365,0.789583607393,-0.167249296028,0,Carry-forward better,0.560451506495,0.686682941429,-22.5231681012,0.496085627975,0.426182727794,14.0908940392,0.697674418605,255,0.542554694382,0.500315163656,7.78530370535,0
Marius Wolf,Dortmund,Augsburg,Dortmund → Augsburg,13,23.8,int,Interceptions /90,Defending,8,per 90,0.615384615385,0.951841932752,1.00840336134,0.39301874596,0.336457317368,0.39301874596,0.0565614285923,0.508340965481,0.773140023425,0.111266713551,0.661873309874,1,Context model better,0.560451506495,0.686682941429,-22.5231681012,0.610824035245,0.55467821821,9.19181528472,0.488372093023,255,0.542554694382,0.500315163656,7.78530370535,0
João Palhinha,Fulham,Bayern Munich,Fulham → Bayern Munich,30,7.5,int,Interceptions /90,Defending,8,per 90,1.53333333333,1.58607485751,0.533333333333,-1,0.0527415241754,1,1.05274152418,0.508340965481,1.96718357934,2.07093583965,-0.103752260307,0,Carry-forward better,0.560451506495,0.686682941429,-22.5231681012,0.991425438466,0.681406821703,31.2699881135,0.697674418605,255,0.542554694382,0.500315163656,7.78530370535,0
Josip Stanišić,Leverkusen,Bayern Munich,Leverkusen → Bayern Munich,14,9.7,int,Interceptions /90,Defending,8,per 90,0.642857142857,1.0938458104,0.618556701031,-0.0243004418262,0.450988667541,0.0243004418262,0.475289109368,0.508340965481,0.0478034301312,0.934980931387,-0.887177501255,0,Carry-forward better,0.560451506495,0.686682941429,-22.5231681012,0.681185162966,0.644120291211,5.4412329819,0.558139534884,255,0.542554694382,0.500315163656,7.78530370535,0
Michael Olise,Crystal Palace,Bayern Munich,Crystal Palace → Bayern Munich,14.2,25.9,int,Interceptions /90,Defending,8,per 90,0.774647887324,0.82588639095,0.30888030888,-0.465767578444,0.0512385036263,0.465767578444,0.51700608207,0.508340965481,0.916250332103,1.01704587507,-0.100795542964,0,Carry-forward better,0.560451506495,0.686682941429,-22.5231681012,0.639177539146,0.704031464832,-10.1464650608,0.488372093023,255,0.542554694382,0.500315163656,7.78530370535,0
Ibrahima Sissoko,Strasbourg,Bochum,Strasbourg → Bochum,18.2,29,int,Interceptions /90,Defending,8,per 90,1.04395604396,1.44096260255,1.24137931034,0.197423266389,0.397006558594,0.197423266389,0.199583292205,0.508340965481,0.388367807819,0.392616975136,-0.00424916731623,0,Carry-forward better,0.560451506495,0.686682941429,-22.5231681012,0.424193690168,0.311703180199,26.5186664904,0.604651162791,255,0.542554694382,0.500315163656,7.78530370535,0
Tom Krauß,Mainz 05,Bochum,Mainz 05 → Bochum,15,12,int,Interceptions /90,Defending,8,per 90,1.13333333333,1.58911707414,0.916666666667,-0.216666666667,0.455783740807,0.216666666667,0.672450407474,0.508340965481,0.426223108857,1.3228333995,-0.896610290645,0,Carry-forward better,0.560451506495,0.686682941429,-22.5231681012,0.698830583216,0.579560172277,17.0671424239,0.697674418605,255,0.542554694382,0.500315163656,7.78530370535,0
